date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,stringency_index,stay_home_requirements,facial_coverings,school_closures,workplace_closures,cancel_public_events,restriction_gatherings
2020-01-31,2,2,,,,,,,,,,,,8.33,,,,,,
2020-02-01,2,0,,,,,,,,,,,,8.33,,,,,,
2020-02-02,2,0,,,,,,,,,,,,11.11,,,,,,
2020-02-03,8,6,,,,,,,,,,,,11.11,,,,,,
2020-02-04,8,0,,,,,,,,,,,,11.11,,,,,,
2020-02-05,9,1,,,,,,,,,,,,11.11,,,,,,
2020-02-06,9,0,,,,,,,,,,,,11.11,,,,,,
2020-02-07,9,0,,,,,,,,,,,,11.11,,,,,,
2020-02-08,13,4,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-09,14,1,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-10,14,0,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-11,15,1,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-12,16,1,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-13,17,1,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-14,18,1,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-15,18,0,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-16,18,0,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-17,19,1,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-18,19,0,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-19,20,1,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-20,22,2,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-21,23,1,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-22,23,0,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-23,28,5,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-24,30,2,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-25,34,4,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-26,37,3,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-27,44,7,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-28,56,12,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-02-29,61,5,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-01,94,33,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-02,134,40,,,,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-03,189,55,,,2.22,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-04,245,56,,,2.2,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-05,294,49,,,2.23,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-06,373,79,1,1,2.34,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-07,428,55,2,1,2.44,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-08,482,54,2,0,2.6,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-09,629,147,3,1,2.86,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-10,888,259,7,4,3.08,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-11,1300,412,7,0,3.14,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-12,1789,489,9,2,3.02,,,,,,,,,11.11,0,0,0,0,0,0
2020-03-13,2268,479,10,1,2.79,,,,,,,,,12.96,0,0,0,0,0,0
2020-03-14,2632,364,29,19,2.59,,,,,,,,,12.96,0,0,0,0,0,0
2020-03-15,3075,443,43,14,2.46,,,,,,,,,12.96,0,0,0,0,0,0
2020-03-16,3690,615,65,22,2.34,,,,,,,,,16.67,0,0,0,0,0,0
2020-03-17,4458,768,82,17,2.27,,,,,,,,,22.22,0,0,0,0,0,0
2020-03-18,5457,999,116,34,2.26,,,,,,,,,31.48,0,0,0,0,0,0
2020-03-19,6517,1060,162,46,2.25,,,,,,,,,31.48,0,0,0,0,0,0
2020-03-20,7774,1257,194,32,2.25,,,,,,,,,37.04,0,0,0,0,0,0
2020-03-21,8989,1215,252,58,2.26,,,,,,,,,47.22,1,0,0,0,0,0
2020-03-22,10365,1376,288,36,2.24,,,,,,,,,62.04,1,0,0,0,0,0
2020-03-23,12704,2339,364,76,2.2,,,,,,,,,78.24,1,0,0,0,0,0
2020-03-24,15075,2371,512,148,2.11,,,,,,,,,79.63,1,0,0,1,0,0
2020-03-25,17778,2703,703,191,2.04,,,,,,,,,79.63,1,0,0,1,1,0
2020-03-26,20882,3104,885,182,1.99,,,,,,,,,79.63,1,0,3,1,1,0
2020-03-27,24105,3223,1173,288,1.94,,,,,,,,,79.63,1,0,3,1,1,0
2020-03-28,26936,2831,1465,292,1.88,,,,,,,,,79.63,1,0,3,1,1,0
2020-03-29,29804,2868,1678,213,1.81,,,,,,,,,79.63,1,0,3,3,2,0
2020-03-30,34110,4306,2052,374,1.74,,,,,,,,,79.63,2,0,3,3,2,0
2020-03-31,38625,4515,2456,404,1.66,,176912,,,,,,,79.63,2,0,3,3,2,4
2020-04-01,43570,4945,3128,672,1.59,12374,189286,,,,,,,79.63,2,0,3,3,2,4
